Case,Vehicle,Order Type,Type,Zones,Severity,Stage,Confidence
852719,VW Tiguan · QQL-EG 396,Inspektion,service,—,,fertig,95%
897113,VW Golf · XQM-S 510,Räder und Reifen,service,—,,abgeschlossen,95%
847039,Ford Fiesta · QQA-CW 5800,HU/AU,service,—,,laufend,95%
842879,Ford Focus Turnier · QQZ-LD 1,HU/AU,service,—,,fertig,95%
860796,Audi A4 Avant · QQD-TL 7555,HU/AU,service,—,,neu,95%
862377,BMW X1 · ZQB-G 7,Räder und Reifen,service,—,,abgeschlossen,95%
885968,Audi Q2 · XQE-AV 89,HU/AU,service,—,,laufend,90%
865479,Audi A1 Sportback · QQC-UA 37,Räder und Reifen,service,—,,neu,95%
849692,Mercedes GLC · XQ-P 8707,Bremsen,service,—,,neu,90%
834726,Ford Kuga · QQN-JC 1499,Vandalismus,damage,"FENDER_REAR_RIGHT, DOOR_FRONT_LEFT, FENDER_FRONT_RIGHT",leicht,neu,95%
854904,VW Touran · QX-Y 27,Parkschaden,damage,TAILGATE,mittel,fertig,95%
844782,Ford Transit Custom · XQM-P 4774,Räder und Reifen,service,—,,storniert,95%
849332,Ford Focus Turnier · QQE-A 420,Inspektion,service,—,,storniert,95%
868499,Seat Leon · XQM-VW 5250,HU/AU,service,—,,laufend,90%
823107,Ford Focus Turnier · XQE-ST 64,Auffahrunfall,damage,FENDER_FRONT_LEFT,mittel,neu,95%
843691,Ford Focus Turnier · QX-R 808,Räder und Reifen,service,—,,abgeschlossen,90%
854758,BMW 5er Limousine · ZQL-W 41,Bremsen,service,—,,laufend,80%
828503,Ford Fiesta · QY-T 5916,Parkschaden,damage,FENDER_REAR_RIGHT,mittel,abgeschlossen,70%
898942,Skoda Fabia · QQA-S 338,Vandalismus,damage,"DOOR_FRONT_LEFT, BUMPER_REAR_FULL",mittel,laufend,93%
873135,Skoda Karoq · QQN-YA 75,HU/AU,service,—,,abgeschlossen,95%
847310,Seat Arona · XQR-GW 2,Räder und Reifen,service,—,,laufend,90%
830928,Seat Leon · QX-N 83,Auffahrunfall,damage,BUMPER_REAR_RIGHT,mittel,laufend,90%
855940,BMW 5er Limousine · QQV-ME 100,HU/AU,service,—,,abgeschlossen,70%
857332,VW Tiguan · ZQD-EZ 8,Parkschaden,damage,HOOD,mittel,fertig,95%
850023,Mercedes Sprinter · QQN-X 741,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",mittel,laufend,85%
843725,Skoda Fabia · XQM-G 835,Parkschaden,damage,HOOD,mittel,abgeschlossen,90%
866844,Mercedes Vito · ZQL-RV 247,Auffahrunfall,damage,"FENDER_REAR_RIGHT, BUMPER_REAR_LEFT, BUMPER_FRONT_LEFT",mittel,abgeschlossen,85%
826552,Mercedes GLC · QQK-FL 430,Rangierschaden,damage,"BUMPER_REAR_LEFT, FENDER_REAR_RIGHT",mittel,neu,95%
841467,Ford Kuga · ZQS-CN 590,Inspektion,service,—,,neu,90%
888989,Opel Mokka · XQM-AM 13,Hagelschaden,damage,"ROOF, TAILGATE",mittel,abgeschlossen,90%
891561,Opel Astra Sports Tourer · QQ-A 4694,Rangierschaden,damage,"BUMPER_REAR_LEFT, BUMPER_FRONT_FULL",leicht,fertig,93%
847918,Audi A6 Avant · QQM-N 39,Auffahrunfall,damage,"FENDER_REAR_LEFT, FENDER_REAR_RIGHT, BUMPER_FRONT_FULL",leicht,abgeschlossen,70%
844514,Ford Transit Custom · QQE-N 860,Inspektion,service,—,,neu,95%
887130,Opel Vivaro · XQD-R 668,Auffahrunfall,damage,"BUMPER_REAR_LEFT, BUMPER_FRONT_RIGHT",leicht,fertig,93%
846386,Skoda Fabia · ZQ-MT 47,Inspektion,service,—,,laufend,90%
894927,Ford Kuga · ZQA-FN 927,Wildunfall,damage,HOOD,leicht,neu,96%
821084,BMW X1 · QQK-ZX 4713,Auffahrunfall,damage,"BUMPER_REAR_LEFT, BUMPER_REAR_FULL, BUMPER_FRONT_RIGHT",mittel,laufend,90%
890615,Skoda Karoq · QQT-Y 37,Wildunfall,damage,"HOOD, FENDER_FRONT_LEFT",schwer,laufend,92%
863452,Audi A1 Sportback · QQK-U 71,Hagelschaden,damage,"ROOF, TAILGATE, HOOD",schwer,storniert,94%
820709,Ford Focus Turnier · ZQR-XV 506,Rangierschaden,damage,BUMPER_REAR_FULL,schwer,fertig,90%
845766,VW Polo · QX-F 9940,Hagelschaden,damage,"ROOF, HOOD, TAILGATE",schwer,abgeschlossen,70%
871979,Mercedes B-Klasse · QQK-JH 6672,Räder und Reifen,service,—,,laufend,90%
872984,BMW 3er Touring · XQ-AY 50,Rangierschaden,damage,"DOOR_REAR_RIGHT, FENDER_REAR_LEFT",mittel,laufend,95%
892809,Audi A3 Sportback · XQE-T 33,Räder und Reifen,service,—,,neu,75%
860983,VW Touran · QQL-U 532,Bremsen,service,—,,fertig,90%
825174,Ford Transit Custom · ZQR-PX 89,Räder und Reifen,service,—,,abgeschlossen,90%
865356,Mercedes A-Klasse · ZQS-ZZ 33,Parkschaden,damage,FENDER_FRONT_LEFT,mittel,laufend,95%
822745,Audi A3 Sportback · ZQL-D 98,HU/AU,service,—,,abgeschlossen,95%
858388,BMW X3 · XQA-R 854,Steinschlag,damage,WINDSHIELD,mittel,laufend,93%
868913,Audi A3 Sportback · XQL-S 917,Bremsen,service,—,,fertig,90%
872191,Ford Focus Turnier · QQE-RC 27,Inspektion,service,—,,abgeschlossen,95%
888092,BMW X1 · XQS-S 889,Auffahrunfall,damage,"TAILGATE, BUMPER_FRONT_FULL, BUMPER_REAR_RIGHT",schwer,neu,93%
835905,Mercedes Sprinter · ZQC-ZB 15,Parkschaden,damage,FENDER_FRONT_RIGHT,mittel,laufend,95%
845286,Seat Leon · XQC-CL 23,Parkschaden,damage,DOOR_REAR_LEFT,mittel,laufend,95%
